INPUT,,MONOISOTOPIC_MASS,BIOCONCENTRATION_FACTOR_TEST_PRED,BOILING_POINT_DEGC_TEST_PRED,48HR_DAPHNIA_LC50_MOL/L_TEST_PRED,DENSITY_G/CM^3_TEST_PRED,DEVTOX_TEST_PRED,96HR_FATHEAD_MINNOW_MOL/L_TEST_PRED,FLASH_POINT_DEGC_TEST_PRED,MELTING_POINT_DEGC_TEST_PRED,AMES_MUTAGENICITY_TEST_PRED,ORAL_RAT_LD50_MOL/KG_TEST_PRED,SURFACE_TENSION_DYN/CM_TEST_PRED,THERMAL_CONDUCTIVITY_MW/(M*K)_TEST_PRED,TETRAHYMENA_PYRIFORMIS_IGC50_MOL/L_TEST_PRED,VISCOSITY_CP_CP_TEST_PRED,VAPOR_PRESSURE_MMHG_TEST_PRED,WATER_SOLUBILITY_MOL/L_TEST_PRED,ATMOSPHERIC_HYDROXYLATION_RATE_(AOH)_CM3/MOLECULE*SEC_OPERA_PRED,BIOCONCENTRATION_FACTOR_OPERA_PRED,BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED,BOILING_POINT_DEGC_OPERA_PRED,HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED,OPERA_KM_DAYS_OPERA_PRED,OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED,SOIL_ADSORPTION_COEFFICIENT_KOC_L/KG_OPERA_PRED,OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED,MELTING_POINT_DEGC_OPERA_PRED,VAPOR_PRESSURE_MMHG_OPERA_PRED,WATER_SOLUBILITY_MOL/L_OPERA_PRED
Doxycycline,10.9,444.15327,0.566239,6.33E+02,8.04E-06,1.71,8.74E-01,4.46E-07,433.072,262.068,0.629,0.0045499,-,-,-,-,6.70E-16,2.29E-03,7.31E-11,2.17214,147.428,3.88E+02,1.19E-11,0.396637,9.45253,565.885,-0.025049,1.87E+02,4.93E-09,0.0013967
Enalapril,128.5,376.19982,0.972747,4.54E+02,9.44E-05,1.221,6.46E-01,8.67E-06,300.299,140.725,-0.028,0.0023014,-,1.60E+02,4.74E-05,2.89E+02,1.01E-09,3.61E-03,2.36E-11,20.0537,3.35393,3.23E+02,1.37E-11,0.153443,9.42691,179.813,0.0736852,1.22E+02,2.42E-10,0.0014965
Enoxacin,60,320.12847,1.90546,4.04E+02,4.59E-05,1.367,1.04E+00,6.10E-06,302.384,228.934,0.563,0.0187932,-,-,-,-,1.78E-09,8.00E-04,1.31E-11,3.79943,3.35651,3.29E+02,7.46E-12,0.170408,9.41717,363.106,-0.196786,2.22E+02,1.43E-11,0.010739
Enrofloxacin,10.3,359.16452,14.9624,4.12E+02,6.41E-06,1.343,1.18E+00,4.56E-07,275.883,207.552,0.685,0.0031915,-,-,-,-,7.59E-10,1.67E-04,2.39E-11,2.53241,3.35804,3.39E+02,7.19E-09,0.447846,10.3829,481.351,0.129022,2.20E+02,6.29E-09,0.358477
Equilin,38.9,268.14633,135.207,3.75E+02,7.36E-06,1.19,1.02E+00,2.00E-06,202.888,199.837,0.235,0.0031989,44.214,1.30E+02,7.43E-06,-,2.64E-08,4.82E-05,6.62E-11,63.0643,88.1668,3.39E+02,6.79E-08,1.73515,11.1833,347135,3.53119,2.39E+02,1.08E-09,5.29E-06
Erythromycin,40.8,733.46124,-,558.117,0.0002188,1.19,-,-,491.819,125.375,0.012,0.0045394,-,-,-,-,4.85E-16,5.28E-04,8.24E-11,3.3669,15.5323,3.89E+02,1.24E-11,0.683337,9.5322,44309.1,3.0596,1.91E+02,4.32E-10,3.73E-05
?-Estradiol,84.4,272.17763,160.694,3.79E+02,1.16E-05,1.158,8.89E-01,3.44E-06,201.082,179.618,0.33,0.0057943,44.443,1.38E+02,1.02E-05,-,2.03E-08,4.70E-05,1.66E-11,40.8171,97.1681,3.73E+02,3.75E-06,1.48967,9.15263,348684,3.90868,2.00E+02,3.42E-10,1.34E-05
Estriol,55.2,288.17254,52.8445,3.93E+02,2.11E-05,1.216,9.28E-01,5.86E-06,229.853,192.72,0.517,0.0041879,46.887,1.51E+02,1.98E-05,-,2.37E-09,8.26E-05,1.67E-11,24.2414,97.6736,3.82E+02,5.17E-09,0.357045,9.24784,129688,2.45182,2.82E+02,8.09E-10,0.0001288
Estrone,53.6,270.16198,168.655,3.71E+02,1.33E-05,1.148,9.04E-01,3.97E-06,198.298,193.352,0.258,0.0034594,44.675,1.30E+02,7.19E-06,-,3.28E-08,4.01E-05,2.71E-11,65.8211,95.167,3.37E+02,1.05E-09,2.11488,10.9598,361153,3.13238,2.60E+02,1.09E-09,2.66E-05
Ethoxyquin,2.3,217.14666,137.404,3.18E+02,1.34E-05,1.004,6.27E-01,1.99E-05,149.374,85.555,0.239,0.0042855,-,-,-,9.91E+00,6.40E-07,7.87E-05,1.88E-10,12.5562,3.35011,2.84E+02,1.26E-07,0.333542,9.25112,761.028,3.10647,5.79E+01,6.78E-06,0.0002779
17-?-Ethynylestradiol,87.4,296.17763,-,383.097,-,1.156,1.00E+00,3.41E-06,203.389,181.314,0,0.00798,46.83,1.44E+02,6.03E-06,-,1.27E-08,1.26E-05,2.83E-11,183.855,97.7868,3.90E+02,9.44E-08,0.622234,9.19849,515331,3.6691,1.83E+02,7.38E-10,3.94E-05
Fenofibrate,25.7,360.11284,302.691,3.96E+02,2.40E-06,1.175,8.47E-01,1.80E-06,194.696,78.64,0.027,0.005212,-,-,9.04E-06,1.57E+01,8.73E-08,2.39E-06,1.38E-11,244.042,3.54888,3.60E+02,4.42E-09,0.973845,10.4638,4807.1,4.94278,8.07E+01,5.12E-07,3.32E-05
Flufenamic acid,97.1,281.06636,18.6638,3.58E+02,3.98E-05,1.345,1.02E+00,8.81E-06,179.638,142.779,0.206,0.0017824,-,-,9.06E-05,-,3.87E-08,3.02E-05,1.37E-11,4.43391,3.55449,3.13E+02,1.43E-09,0.455992,9.02007,1759.96,5.24477,1.34E+02,3.89E-09,1.52E-05
Flumequine,98.3,261.08012,8.74984,4.05E+02,2.76E-05,1.41,1.07E+00,1.96E-06,212.728,199.798,0.48,0.0045604,-,1.34E+02,3.27E-05,4.63E+01,1.86E-08,3.24E-04,1.85E-11,3.37997,7.55816,3.22E+02,2.04E-09,0.31775,10.6246,976.445,1.60409,2.00E+02,4.03E-09,0.0082236
Fluoxetine,35.7,309.13405,171.791,3.43E+02,5.22E-06,1.22,7.95E-01,1.79E-06,179.283,55.511,0.158,0.0034514,-,-,7.53E-06,-,1.43E-06,2.37E-05,1.63E-11,124.999,3.54856,3.33E+02,3.12E-08,0.661656,9.7936,4259.22,4.05099,1.20E+02,4.05E-07,0.0001939
Furosemide,84.8,330.00772,2.10863,-,-,1.56,0.965,-,293.835,223.335,-0.138,0.0181134,-,-,-,-,6.25E-11,4.79E-04,1.63E-11,6.33545,3.34559,2.73E+02,2.51E-10,0.244117,9.24167,31.3708,2.02887,1.98E+02,1.96E-10,0.000133
Gemfibrozil,98.4,250.15689,16.1065,3.49E+02,2.05E-05,1.026,8.49E-01,1.56E-05,182.539,75.489,0.229,0.001875,37.844,1.35E+02,2.00E-05,2.62E+01,1.72E-06,6.86E-05,1.70E-11,3.16529,3.52559,3.27E+02,5.72E-09,0.893501,9.602,216.122,4.43118,6.21E+01,9.33E-06,0.000248
Hydrochlorothiazide,96.5,296.96448,0.544503,-,-,1.627,0.937,-,299.645,244.418,-0.077,0.0103276,-,-,-,-,1.25E-09,2.82E-03,4.50E-12,2.16052,7.22499,2.55E+02,2.73E-10,0.168684,8.52661,52.6482,-0.070019,2.74E+02,1.06E-10,0.0023528
Hydroflumethiazide,89.8,330.99083,1.40605,-,-,1.696,1.058,-,288.312,241.27,-,0.0054954,-,-,-,-,2.86E-09,6.25E-03,4.97E-12,2.10412,4.64962,2.55E+02,2.53E-10,0.191207,8.32171,57.0804,0.361632,2.70E+02,6.94E-11,0.0009491
Ibuprofen,98.8,206.13068,19.8153,2.95E+02,1.36E-05,1.06,8.97E-01,2.64E-05,176.753,68.782,-0.045,0.007379,35.129,132.813,0.0001021,1.84E+01,2.03E-05,3.90E-04,1.50E-11,71.7605,3.54647,2.81E+02,8.19E-08,0.402464,8.75707,139.326,3.73501,103.411,0.0083274,0.0001744
Indomethacine,52.5,357.07679,25.2348,4.70E+02,1.65E-05,1.363,5.92E-01,1.02E-06,286.056,193.184,0.623,0.000492,-,-,1.38E-05,-,3.56E-10,1.63E-06,1.48E-11,2.61,3.53995,3.60E+02,8.56E-10,2.13737,10.367,393.512,4.26734,1.58E+02,2.23E-08,5.31E-06
Josamycin,62.1,827.46672,-,6.11E+02,1.13E-05,1.238,-,-,479.638,111.208,0.199,0.0067143,-,-,-,-,-,6.86E-05,1.06E-10,9.93131,13.5352,4.62E+02,4.98E-11,0.339381,9.58892,31567.2,2.39424,1.31E+02,6.44E-11,0.0010268
Ketoprofen,63.1,254.09429,11.4025,3.81E+02,3.70E-05,1.198,9.41E-01,1.13E-05,219.545,137.236,0.283,0.0005598,-,-,8.87E-05,3.73E+01,8.11E-09,2.69E-04,1.95E-11,3.02936,4.63937,3.09E+02,1.34E-09,0.253029,10.5726,696.301,3.12061,9.45E+01,2.36E-08,0.0004791
Leucomalachite green,9.9,330.2096,449.78,3.77E+02,1.50E-06,1.044,8.64E-01,5.77E-07,229.816,97.213,0.052,0.0027479,-,-,9.08E-06,3.72E+01,1.64E-06,4.62E-05,1.68E-11,524.608,8.17403,3.76E+02,3.19E-06,3.05905,11.7318,1588.82,5.5248,1.47E+02,3.96E-07,2.11E-06
Lincomycin,67.1,406.21376,1.90985,519.809,0.0018967,1.334,-1.04E-01,2.66E-05,319.8,142.816,0.071,0.0031769,-,-,-,2.79E+02,3.09E-11,5.47E-02,2.45E-11,1.80359,36.8012,3.55E+02,1.80E-11,0.307076,9.48763,60.3036,0.19995,1.77E+02,6.08E-09,0.0022957
Lomefloxacin,32.4,351.13945,4.2462,3.94E+02,8.49E-06,1.374,1.03E+00,1.76E-06,285.212,204.541,0.762,0.0151705,-,-,-,-,8.47E-09,1.28E-04,5.30E-11,2.72652,3.3565,3.06E+02,4.50E-11,0.155838,9.2824,1763.09,-0.299059,2.40E+02,1.78E-10,0.0029398
Malachite green,32.5,364.17063,73.4514,4.03E+02,1.24E-05,1.032,8.82E-01,1.07E-05,237.922,99.166,0.073,0.0032137,-,-,-,-,1.21E-07,9.00E-06,6.41E-11,308.085,4.0403,3.55E+02,2.03E-06,3.08056,10.58,3964.45,0.620206,1.84E+02,5.24E-07,7.77E-06
Mebendazole,62.4,295.09569,6.23735,4.98E+02,8.79E-06,1.392,9.24E-01,2.77E-06,291.856,243.835,0.362,0.004529,-,-,-,-,4.73E-11,2.59E-05,1.37E-11,13.4084,3.53834,2.95E+02,1.73E-10,1.02904,9.47901,277.94,2.8292,2.88E+02,2.95E-10,0.0001251
Meclofenamic acid ,100.5,295.01668,33.4965,4.00E+02,1.13E-05,1.374,9.55E-01,1.46E-06,211.349,215.956,0.491,0.0027733,-,-,1.40E-05,-,1.74E-09,1.60E-05,1.37E-11,2.88478,4.42577,3.17E+02,1.69E-10,0.707656,9.31412,2684.24,4.5801,2.57E+02,3.66E-09,7.05E-05
Mefenamic acid,92.5,241.11028,10.7895,3.80E+02,7.30E-05,1.218,8.58E-01,1.77E-05,205.833,206.504,0.471,0.0011615,-,-,8.45E-05,-,1.76E-08,1.56E-04,1.37E-11,19.4307,4.61291,3.17E+02,1.88E-10,0.607506,9.19262,704.546,5.11352,2.30E+02,5.14E-09,2.55E-05
Metformin,3.1,129.10145,-,-,0.0031989,1.171,-,-,141.183,98.264,0.207,0.0012106,-,-,-,-,-,5.31E-01,5.22E-11,1.94315,4.76244,2.57E+02,3.54E-09,0.087391,5.92669,9.4953,0.375841,1.61E+02,6.58E-10,0.0595311
3-Methylxanthine,17.5,166.04908,0.503501,365.436,0.0044259,1.483,0.582,0.0080168,227.691,239.814,0.244,0.0047753,-,-,-,-,1.80E-07,1.54E-02,6.43E-12,2.2143,4.87258,2.55E+02,5.74E-10,0.082303,9.03296,69.745,-0.498313,2.53E+02,2.51E-09,0.0004284
Metronidazole,93.5,171.06439,1.91426,307.324,0.0002286,1.45,0.147,0.0024774,191.418,79.186,1.003,0.0154882,-,151.078,0.0015776,27.0396,0.0003873,8.95E-02,7.65E-12,3.61652,4.4649,3.01E+02,5.63E-09,0.108458,8.34948,57.2788,-0.023627,1.26E+02,8.89E-05,0.057028
Miconazole,21.9,413.98602,672.977,4.18E+02,8.41E-07,1.446,4.32E-01,3.02E-07,261.61,111.138,0.502,0.0029717,-,1.35E+02,4.31E-07,6.67E+01,2.39E-08,8.22E-06,1.76E-11,1803.31,3.36239,3.91E+02,2.97E-06,8.53472,11.6965,520.08,4.28498,1.52E+02,1.65E-07,6.54E-05
Nalidixic acid,47.6,232.08479,1.74582,362.807,0.0002773,1.309,9.84E-01,5.12E-05,198.601,207.139,0.482,0.0109901,-,143.438,0.0001324,4.32E+01,2.64E-08,9.38E-04,1.33E-11,3.36361,3.34723,3.20E+02,2.56E-09,0.117403,10.3114,208.123,1.58983,2.29E+02,5.64E-08,0.0003853
Naproxen,64.7,230.09429,8.12831,3.57E+02,5.61E-05,1.212,9.06E-01,1.96E-05,179.312,141.454,0.479,0.0024266,41.104,137.249,0.0001084,2.67E+01,1.54E-07,1.38E-04,1.50E-11,3.15503,3.53487,3.24E+02,1.06E-09,0.284673,9.75114,554.684,3.18037,1.53E+02,2.55E-07,5.82E-05
Nifuroxazide,25.8,275.05422,-,4.12E+02,8.28E-06,1.635,7.53E-01,9.18E-08,228.659,219.987,0.967,0.0019999,-,-,-,-,1.77E-08,1.09E-04,1.08E-11,58.2733,3.54499,3.20E+02,9.78E-10,0.249119,10.0185,709.646,1.08533,2.98E+02,4.79E-11,0.0005728
Norfloxacin,11.6,319.13322,2.66073,3.92E+02,8.05E-05,1.344,1.09E+00,4.55E-06,279.397,235.855,0.543,0.0133352,-,-,-,-,3.40E-09,5.75E-04,1.84E-11,2.77127,3.35443,3.28E+02,6.03E-11,0.167826,9.37778,305.26,-1.02432,2.27E+02,1.32E-10,0.0221104
Ofloxacin,40.8,361.14378,3.53183,4.26E+02,4.70E-05,1.369,1.03E+00,3.44E-06,275.722,212.417,0.652,0.0038548,-,-,-,-,9.31E-10,1.04E-03,2.40E-11,4.41415,3.36089,3.39E+02,1.16E-09,0.359273,10.4186,482.065,-0.387824,1.69E+02,1.46E-07,0.0775465
Oxacillin,70.9,401.10454,1.36458,5.22E+02,1.61E-05,1.519,3.70E-02,6.87E-07,368.454,221.381,0.024,0.0083368,-,-,-,-,2.17E-11,1.26E-04,1.79E-11,2.52624,34.8815,3.11E+02,1.27E-11,0.145241,9.61019,89.158,2.38035,1.88E+02,4.74E-11,4.52E-06
Oxolinic acid,111.3,261.06372,1.95434,4.06E+02,3.58E-05,1.44,1.15E+00,7.91E-06,236.968,225.686,0.751,0.002704,-,1.45E+02,7.53E-05,4.30E+01,4.63E-08,3.78E-04,1.86E-11,3.35103,3.35251,3.31E+02,1.49E-09,1.00069,10.6767,811.481,0.942494,1.68E+02,5.17E-08,1.25E-05
Oxytetracycline,25.6,460.14818,7.87046,6.46E+02,2.57E-05,1.75,8.31E-01,2.43E-06,444.511,276.712,0.563,0.0024774,-,-,-,-,4.61E-16,2.64E-03,7.31E-11,1.42326,147.805,3.79E+02,1.36E-11,0.408611,9.50064,538.462,-0.900077,1.85E+02,1.63E-08,0.0007225
Paracetamol,69.6,151.06333,1.72982,287.846,0.0001795,1.199,0.457,0.0005929,163.213,143.007,0.451,0.0111429,-,171.811,0.0018113,2.30E+01,1.41E-05,3.95E-02,1.30E-11,11.5635,3.55113,3.10E+02,5.74E-09,0.262137,7.95753,47.6476,0.462113,1.70E+02,6.85E-06,0.0933539
Penicillin G,83.4,334.09873,0.774462,468.252,0.0001205,1.43,-1.80E-02,1.75E-06,347.134,196.238,-0.047,0.0159588,-,153.744,-,-,2.25E-10,2.37E-03,1.71E-11,2.89345,13.4366,3.07E+02,1.49E-11,0.164984,9.46268,707.597,1.82897,1.61E+02,7.18E-11,0.0333992
Phenacetin,66.2,179.09463,4.62381,301.004,0.000246,1.111,0.521,0.0002649,150.328,98.727,0.54,0.0154525,-,149.198,0.0015959,1.47E+01,1.14E-05,4.92E-03,1.52E-11,30.0205,4.46348,2.44E+02,1.13E-09,0.281518,9.58396,84.6174,1.58029,1.37E+02,6.99E-07,0.0042685
Pindolol,74.3,248.15248,5.5335,4.32E+02,2.58E-05,1.192,6.63E-01,6.15E-05,243.974,145.587,0.198,0.0046132,-,-,9.66E-05,7.35E+01,5.06E-08,5.30E-04,1.68E-11,7.92489,3.34081,3.43E+02,7.23E-08,0.205868,9.21524,156.87,1.75052,1.71E+02,9.19E-09,0.0002127
Pipemidic acid,16.2,303.13314,0.660693,421.112,0.0001538,1.355,1.14E+00,3.67E-05,304.606,231.612,0.633,0.0169434,-,-,0.0001656,-,1.68E-09,3.80E-03,3.12E-11,1.60803,4.48035,3.26E+02,3.36E-10,0.197895,9.03874,210.559,-2.14536,2.54E+02,3.01E-11,0.0010679
Pravastatin,89.3,424.2461,1.87499,4.79E+02,4.29E-05,1.226,5.91E-01,2.08E-06,318.026,131.601,0.11,0.0022909,41.664,1.64E+02,3.11E-05,-,8.81E-10,1.30E-04,1.40E-10,6.58687,14.5888,3.79E+02,1.17E-11,0.272192,9.42849,1553.36,2.17992,1.61E+02,4.27E-10,2.48E-05
Propranolol,64.5,259.15723,24.2103,3.81E+02,7.75E-05,1.093,6.90E-01,3.74E-05,194.118,104.917,0.113,0.0078705,40.248,1.54E+02,3.98E-05,3.24E+01,1.32E-07,1.44E-04,2.80E-11,6.68588,3.3467,3.09E+02,1.43E-09,0.593178,8.39921,251.401,3.475,1.12E+02,2.92E-08,0.0005914
Propyphenazone,72.8,230.14191,34.7536,-,1.39E-05,1.092,7.98E-01,2.26E-05,125.025,96.615,0.331,0.0044056,-,-,-,-,2.66E-06,1.85E-03,3.16E-11,15.6913,3.36004,3.43E+02,2.78E-06,0.104451,7.52453,682.847,1.94098,102.933,0.002329,0.0116598
Ranitidine,54.1,314.14126,-,-,0.0003999,1.252,-0.014,-,166.013,106.626,-,-,-,-,-,-,-,4.44E-02,2.04E-11,8.73041,4.48089,3.49E+02,7.13E-09,0.47411,10.2841,1022.39,0.269121,6.96E+01,2.55E-07,0.0128711
Roxithromycin,70.5,836.52457,-,-,0.0001928,-,-,-,-,84.576,0.187,0.0028249,-,-,-,-,-,3.04E-04,8.29E-11,10.0491,13.5573,4.32E+02,1.51E-11,0.521869,9.54446,31300.3,2.92491,1.38E+02,1.76E-10,0.0002611
Salbutamol,62.2,239.15214,2.91743,3.49E+02,6.79E-05,1.151,5.74E-01,7.94E-05,186.357,126.993,0.361,0.0054576,41.3,195.354,0.000207,2.46E+01,4.04E-07,1.79E-02,1.64E-11,6.72609,4.28138,2.98E+02,8.07E-11,0.118484,8.63197,106.555,0.997825,1.51E+02,5.43E-08,0.0599163
Salycilic acid,91.7,138.03169,1.18,275.63,0.0006166,1.37,0.2,0.0007079,146.19,151.68,-0.04,0.0047863,30.5,217.22,0.0047863,1.02329,0.0001122,6.03E-02,3.64E-12,4.16166,4.0765,2.55E+02,8.80E-08,0.101332,7.4432,37.6361,2.26129,1.58E+02,8.14E-05,0.107225
Sarafloxacin,24,385.1238,5.55904,4.48E+02,6.67E-06,1.422,9.40E-01,5.81E-07,312.018,237.732,0.862,0.0045499,-,-,-,-,3.78E-10,3.54E-05,2.40E-11,3.90403,5.2125,3.46E+02,4.08E-11,0.16484,9.48523,2503.77,-0.113915,2.16E+02,1.92E-09,0.0002598
Spiramycin I,18.4,842.51401,-,6.31E+02,8.20E-05,1.226,-,-,494.319,102.095,0.202,0.0032137,-,-,-,-,-,3.52E-04,8.47E-11,9.96381,13.1062,4.65E+02,5.18E-11,0.336407,9.55343,30666.1,3.25955,1.38E+02,8.03E-11,0.0012838
Sulfachloropyridazine,85,284.01347,4.87528,-,-,1.554,0.88,-,269.434,192.242,-0.085,0.0155239,-,-,-,-,6.32E-10,4.59E-04,9.20E-12,3.45286,3.35722,3.04E+02,7.38E-11,0.169631,9.19836,290.239,1.55903,1.87E+02,1.17E-10,0.0243208
Sulfadiazine,67,250.05245,1.74181,-,-,1.464,0.932,-,265.362,215.545,-0.058,0.0337287,-,-,-,-,5.96E-09,1.80E-03,8.99E-12,2.9186,3.36135,3.02E+02,7.57E-11,0.110461,9.13358,114.994,-0.088615,2.42E+02,9.85E-10,0.0003339
Sulfadimethoxine,46.5,310.07358,2.28034,-,-,1.47,0.996,-,278.838,186.504,0.149,0.0226986,-,-,-,-,4.69E-10,7.16E-04,1.39E-11,1.77078,4.28747,3.03E+02,1.06E-11,0.397399,9.32517,52.5961,1.62719,2.03E+02,4.37E-09,0.0011092
Sulfamerazine,83,264.0681,2.00909,-,-,1.442,0.915,-,270.099,212.629,-0.035,0.0285759,-,-,-,-,3.78E-09,1.46E-03,1.39E-11,2.23524,3.35842,3.03E+02,7.38E-11,0.0945806,9.20134,194.906,0.14131,2.36E+02,8.67E-10,0.0039711
Sulfamethizole,72.8,270.02452,2.09894,-,-,1.536,0.783,-,252.984,197.055,-0.082,0.0079068,-,-,-,-,1.40E-09,7.21E-04,1.68E-11,2.01872,3.17228,3.14E+02,7.63E-11,0.107292,9.13597,149.166,0.541878,2.08E+02,8.86E-09,0.0038851
Sulfamethoxazole,73.4,253.05211,17.1002,-,-,1.442,0.853,-,251.926,183.938,-0.038,0.0337287,-,-,-,-,4.63E-09,1.26E-03,1.68E-11,2.73723,3.34817,2.91E+02,1.72E-10,0.11058,9.02059,91.576,0.890993,1.67E+02,1.09E-09,0.0021124
Sulfanilamide,33.2,172.03065,1.71002,-,-,1.399,0.47,-,166.336,161.584,-0.071,0.010617,-,-,-,-,0.0027479,2.56E-02,1.27E-12,1.97514,3.86552,2.84E+02,8.16E-11,0.115807,7.84818,32.3034,-0.614887,1.65E+02,2.08E-05,0.0437708
Sulfapyridine,56.2,249.0572,2.77332,-,-,1.429,0.875,-,256.018,195.833,-0.105,0.018197,-,-,-,-,9.27E-09,1.39E-03,9.00E-12,2.24098,3.35787,2.92E+02,3.95E-11,0.112549,9.08787,149.265,0.352613,1.92E+02,2.54E-10,0.0012491
Sulfathiazole,61.6,255.01362,2.22844,-,-,1.499,0.823,-,240.622,183.862,-0.106,0.0101625,-,-,-,-,8.81E-09,1.19E-03,9.19E-12,1.95218,3.34444,2.94E+02,4.04E-11,0.114997,9.0734,266.905,0.0527837,1.89E+02,6.02E-08,0.0026217
Testosterone,56.8,288.20893,80.5378,3.58E+02,2.07E-05,1.111,1.04E+00,4.29E-06,192.036,149.177,-0.018,0.0135207,43.766,-,-,-,2.45E-07,1.30E-04,3.99E-11,55.074,97.3688,2.95E+02,7.05E-08,3.30417,10.9935,142142,3.31807,1.55E+02,1.61E-07,9.12E-05
Tetracycline,22.9,444.15327,0.712853,6.11E+02,1.96E-05,1.718,8.65E-01,2.03E-06,424.09,259.801,0.6,0.0024044,-,-,-,-,1.14E-15,1.78E-03,7.31E-11,1.87747,147.649,3.84E+02,1.28E-11,0.396576,9.45138,557.702,-1.29549,1.87E+02,2.61E-09,0.0009477
Thiabendazole,75.5,201.03607,18.197,4.04E+02,4.12E-05,1.363,0.486,-,201.482,245.575,0.575,-,-,-,0.0002767,-,7.06E-07,1.57E-04,4.33E-11,7.89022,3.53815,3.36E+02,6.93E-08,0.14564,10.0496,1739.36,2.46847,3.00E+02,4.04E-09,0.0002519
Timolol,80.3,316.15691,3.91742,367.063,0.0001667,1.277,0.567,-,250.412,135.506,0.213,0.0103276,-,-,6.28E-05,-,9.12E-08,7.85E-03,1.75E-11,2.66733,4.89732,3.43E+02,1.58E-09,0.160991,9.24379,523.277,1.83077,2.02E+02,2.79E-07,0.0219795
Trimethoprim,64,290.13789,13.8357,4.36E+02,5.22E-05,1.394,8.44E-01,3.68E-05,276.307,196.991,0.421,0.0057148,-,-,0.0003516,-,7.15E-09,8.71E-04,1.42E-11,47.2524,4.23985,3.37E+02,1.65E-08,0.627596,9.33787,114.803,0.910108,2.01E+02,1.99E-09,0.0013309
Warfarin,67.7,308.10486,-,4.52E+02,3.78E-05,1.329,9.61E-01,1.72E-05,235.071,172.903,0.309,0.0001297,-,-,8.87E-05,6.67E+01,8.55E-10,1.42E-04,3.35E-11,17.7933,3.54225,3.98E+02,6.14E-09,0.408781,10.66,912.145,2.69984,1.61E+02,1.15E-07,9.62E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
